timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701701294184,413,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,5780,440,2,2,https://www.blazedemo.com/confirmation.php,409,0,0
1701701293453,1141,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-1,,true,,19888,994,2,2,null,1120,4,175
1701701294294,605,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-2,text,true,,6719,299,2,2,https://www.blazedemo.com/purchase.php,593,0,0
1701701294600,506,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,7389,255,2,2,https://www.blazedemo.com/reserve.php,505,0,178
1701701294901,268,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-2,text,true,,5780,446,2,2,https://www.blazedemo.com/confirmation.php,258,0,0
1701701293841,1323,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-2,,true,,19888,1000,2,2,null,1282,6,181
1701701295107,357,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,6719,299,2,2,https://www.blazedemo.com/purchase.php,346,0,0
1701701295174,485,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-2,text,true,,7389,255,2,2,https://www.blazedemo.com/reserve.php,466,0,199
1701701295464,297,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,5780,440,2,2,https://www.blazedemo.com/confirmation.php,285,0,0
1701701294599,1160,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-1,,true,,19888,994,2,2,null,1136,3,178
1701701295661,274,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-2,text,true,,6719,299,2,2,https://www.blazedemo.com/purchase.php,262,0,0
1701701295768,443,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,7389,255,2,2,https://www.blazedemo.com/reserve.php,424,0,172
1701701295937,415,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-2,text,true,,5780,446,2,2,https://www.blazedemo.com/confirmation.php,403,0,0
1701701295171,1174,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-2,,true,,19888,1000,2,2,null,1131,7,199
1701701296213,321,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,6719,299,1,1,https://www.blazedemo.com/purchase.php,308,0,0
1701701296534,440,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,5780,428,1,1,https://www.blazedemo.com/confirmation.php,428,0,0
1701701295766,1204,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-1,,true,,19888,982,1,1,null,1160,4,172
1701701296975,592,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,7389,255,1,1,https://www.blazedemo.com/reserve.php,591,0,210
1701701297568,508,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,6719,299,1,1,https://www.blazedemo.com/purchase.php,507,0,0
1701701298078,307,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-1,text,true,,5780,446,1,1,https://www.blazedemo.com/confirmation.php,307,0,0
1701701296975,1407,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-1,,true,,19888,1000,1,1,null,1405,5,210
